영업상태명,폐업일자,사업장명,좌표정보(x),좌표정보(y),도로명전체주소
폐업,2024-02-29,메종 드 행궁,127.01610357188149,37.2850625193834,"경기도 수원시 팔달구 정조로 862-1, 302호 (북수동)"
폐업,2024-03-06,뽁이네간식카페,126.97853015464361,37.276444660508396,"경기도 수원시 권선구 수인로 193-6, 1층 일부호 (구운동)"
폐업,2024-02-26,베벌리 도그,127.06026463110096,37.287453322290965,"경기도 수원시 영통구 법조로 **, 광교 SK VIEW Lake A 근린생활 B***호 (하동)"
폐업,2024-03-04,딜라이트스토어,126.97834453022145,37.289016313746714,"경기도 수원시 장안구 일월로**번길 **, *층 (천천동)"
폐업,2024-02-25,드롭바이갤럭시,126.99064975350059,37.292163513717824,"경기도 수원시 장안구 대평로**번길 **, ***동 ****호 (정자동, 화서역파크뷰)"
폐업,2024-02-28,2.17센티미터(2.17CM),127.07488796445593,37.25319214590604,"경기도 수원시 영통구 반달로*번길 **, 르네상스 시티프라자 *층 ***호 (영통동)"
폐업,2024-03-01,일품능이백숙,127.02147768481933,37.25939514802281,"경기도 수원시 권선구 장다리로 ***-*, *층 (권선동)"
폐업,2024-02-28,일품능이백숙,127.02147768481933,37.25939514802281,"경기도 수원시 권선구 장다리로 101-1, 1층 일부호 (권선동)"
폐업,2024-02-28,카페133,127.00343438360744,37.306996106120515,"경기도 수원시 장안구 경수대로994번길 29-10, 1층 (송죽동)"
폐업,2024-02-29,세븐일레븐 권선상록점,127.03635461788205,37.24989829176058,"경기도 수원시 권선구 세권로304번길 47, 상가 101호 (권선동, 권선5단지 상록아파트)"
폐업,2024-02-27,센트레행궁,127.01203741657396,37.28440026105945,"경기도 수원시 팔달구 화서문로32번길 15, 3층 (신풍동)"
폐업,2024-02-27,방콕시티래쉬,127.03051814970092,37.26699155723444,"경기도 수원시 팔달구 경수대로466번길 59, 1층 104호 (인계동, 인계리치안)"
폐업,2024-02-27,캐슬구매대행,127.04229863804916,37.24301513868282,"경기도 수원시 영통구 덕영대로 ****, ***동 ***호 (망포동, 영통아이파크캐슬*단지)"
폐업,2024-02-29,흥만소,127.05743978708709,37.28520630774426,"경기도 수원시 영통구 광교중앙로 124, 갤러리아 광교 지1층 (하동)"
폐업,2024-03-01,만덕상회,126.99596954618463,37.28152090254558,"경기도 수원시 팔달구 화양로**번길 **-*, ***호 (화서동, 민영루이스 아파트)"
